NORAD_CAT_ID	DECAY_DATE
1	01/12/1957
2	03/01/1958
3	14/04/1958
4	31/03/1970
5	
6	28/06/1958
7	03/12/1958
8	06/04/1960
9	23/10/1959
10	21/01/1959
11	
12	
13	03/03/1959
14	26/04/1959
15	30/06/1961
16	
17	30/06/1961
18	28/09/1959
19	20/10/1959
20	
21	20/04/1960
22	
23	16/07/1989
24	26/11/1959
25	08/03/1960
26	11/02/1961
27	
28	03/07/1991
29	
30	18/08/1961
31	05/10/1967
32	26/04/1960
33	17/07/1960
34	05/09/1962
35	17/07/1960
36	15/10/1965
37	30/06/1961
38	20/08/1960
39	24/09/1960
40	24/09/1960
41	30/09/1960
42	01/10/1960
43	07/02/1974
44	05/12/1960
45	
46	
47	
48	14/11/1960
49	24/05/1968
50	
51	
52	
53	
54	16/09/1960
55	20/08/1960
56	23/09/1960
57	18/10/1960
58	
59	
60	28/03/2012
61	29/12/1960
62	27/10/1985
63	18/05/2014
64	24/09/1981
65	02/12/1960
66	02/12/1960
67	02/04/1961
68	23/01/1961
69	16/02/1970
70	21/10/1973
71	26/02/1961
72	13/02/1961
73	17/03/1961
74	10/05/1989
75	25/01/1990
76	18/02/1961
77	25/02/1961
78	18/02/1961
79	09/10/1970
80	
81	09/04/1964
82	
83	28/07/1962
84	20/04/1962
85	
86	30/06/1961
87	30/03/1961
88	02/04/1961
89	20/04/1961
90	31/10/1961
91	09/03/1961
92	10/03/1961
93	10/03/1961
94	10/03/1961
95	25/03/1961
96	26/03/1961
97	26/03/1961
98	30/06/1961
99	15/07/1979
100	16/04/1962
101	17/04/1983
102	23/05/1962
103	12/04/1961
104	16/04/1961
105	03/03/1972
106	10/09/1961
107	
108	12/07/1961
109	19/06/1961
110	12/10/1958
111	07/12/1958
112	
113	
114	13/09/1959
115	
116	
117	
118	
119	
120	
121	
122	
123	
124	
125	
126	
127	
128	
129	31/08/1981
130	
131	
132	
133	
134	
135	17/04/2002
136	
137	15/12/1980
138	
139	08/07/1978
140	30/09/1962
141	
142	25/12/1967
143	16/06/1962
144	
145	
146	07/07/1969
147	
148	
149	03/03/1979
150	
151	02/12/1967
152	
153	20/04/1981
154	
155	
156	25/09/1998
157	08/01/1981
158	
159	
160	05/12/1961
161	29/08/1981
162	
163	
164	24/07/1961
165	19/02/2014
166	02/03/1992
167	
168	07/08/1961
169	09/08/1961
170	30/09/1963
171	29/01/1962
172	
173	30/08/1961
174	03/09/1961
175	12/03/1999
176	12/02/1982
177	
178	
179	03/03/2000
180	28/08/1961
181	10/09/1961
182	11/12/1961
183	13/09/1961
184	13/09/1961
185	18/09/1961
186	26/10/1961
187	28/09/1961
188	
189	13/11/1961
190	25/11/1961
191	16/10/1961
192	
193	05/12/1961
194	
195	
196	
197	07/12/1962
198	30/11/1961
199	09/12/1961
200	10/12/1961
201	03/12/1961
202	
203	12/12/1961
204	
205	
206	20/11/1961
207	23/11/1961
208	29/11/1961
209	30/11/1961
210	
211	17/10/2002
212	11/08/1988
213	08/03/1962
214	31/01/1962
215	19/12/1961
216	13/11/1989
217	14/08/1962
218	31/12/1961
219	09/01/1962
220	21/02/1966
221	
222	
223	
224	
225	
226	
227	
228	
229	10/08/2002
230	
231	13/02/1965
232	
233	
234	
235	
236	13/05/1969
237	12/04/1969
238	07/12/1969
239	17/06/1967
240	20/02/1962
241	21/02/1962
242	04/03/1962
243	
244	
245	
246	
247	21/03/1962
248	03/03/1962
249	03/03/1962
250	13/09/1981
251	07/03/1962
252	
253	
254	
255	08/10/1981
256	07/06/1963
257	03/05/1970
258	31/03/1962
259	03/11/1962
260	
261	
262	
263	
264	
265	12/10/1978
266	23/05/1962
267	18/06/1962
268	
269	23/08/1963
270	06/10/1962
271	
272	04/05/1962
273	
274	
275	01/12/2001
276	28/05/1962
277	20/04/1962
278	21/04/1962
279	21/04/1962
280	26/04/1962
281	17/10/1962
282	
283	05/08/1962
284	17/06/1962
285	24/05/1976
286	28/04/1962
287	29/04/1962
288	28/04/1971
289	03/05/1962
290	26/05/1962
291	01/05/1962
292	26/11/1963
293	03/07/1962
294	13/07/1962
295	24/05/1962
296	25/05/1962
297	02/05/1963
298	15/12/1962
299	
300	13/12/1979
301	08/04/1981
302	11/06/1962
303	02/06/1962
304	28/06/1962
305	21/06/1962
306	06/06/1962
307	18/06/1962
308	30/10/1963
309	
310	12/07/1962
311	28/11/1990
312	
313	19/01/1992
314	14/07/1962
315	07/07/1962
316	14/09/1962
317	11/01/1981
318	
319	23/07/1981
320	
321	26/02/1969
322	06/06/1969
323	
324	
325	
326	07/10/1979
327	
328	03/05/1970
329	
330	
331	24/03/1989
332	20/09/1970
333	
334	
335	
336	
337	
338	08/09/1962
339	08/08/1962
340	
341	
342	25/07/1962
343	27/07/1962
344	14/08/1962
345	24/08/1962
346	01/08/1962
347	21/08/1962
348	31/07/1962
349	30/07/1962
350	
351	
352	10/12/1966
353	
354	
355	
356	02/02/1981
357	
358	31/08/1966
359	31/08/1965
360	26/08/1962
361	06/08/1962
362	08/08/1962
363	15/08/1962
364	14/08/1962
365	15/08/1962
366	14/08/1962
367	17/08/1963
368	19/12/1962
369	
370	02/03/1980
371	28/08/1962
372	02/09/1962
373	31/08/1962
374	
375	
376	05/09/1962
377	10/09/1962
378	12/08/1992
379	30/08/1962
380	06/09/1962
381	06/09/1962
382	03/09/1962
383	01/10/1962
384	21/09/1962
385	26/10/1964
386	08/09/1962
387	05/09/1962
388	02/05/1999
389	14/09/1962
390	12/09/1962
391	17/09/1962
392	13/09/1962
393	13/09/1962
394	16/09/1962
395	15/09/1962
396	19/11/1962
397	
398	10/01/1983
399	11/01/2019
400	05/04/1989
401	25/01/1989
402	
403	
404	
405	
406	
407	
408	
409	
410	
411	20/06/1978
412	30/06/1980
413	02/12/1989
414	
415	27/05/1989
416	
417	
418	05/11/1991
419	09/12/2014
420	
421	02/10/1984
422	01/10/1962
423	22/12/1962
424	
425	06/10/1962
426	
427	14/10/1962
428	08/10/1962
429	04/10/1962
430	08/10/1962
431	03/10/1962
432	28/05/1988
433	03/10/1962
434	04/10/1962
435	06/10/1962
436	16/11/1962
437	21/10/1962
438	05/11/1962
439	
440	
441	18/05/1964
442	05/06/1963
443	29/10/1962
444	05/10/1967
445	15/01/1978
446	
447	
448	03/11/1962
449	03/11/1962
450	
451	05/11/1962
452	08/11/1962
453	03/12/1962
454	19/01/1963
455	12/11/1962
456	02/12/1962
457	26/02/1963
458	29/11/1962
459	04/12/1962
460	08/12/1962
461	
462	01/04/2001
463	
464	18/12/1989
465	
466	26/11/1988
467	
468	03/12/1981
469	
470	
471	02/08/2007
472	26/04/2003
473	02/03/1972
474	
475	
476	02/04/2014
477	18/01/1982
478	
479	
480	
481	13/12/1962
482	10/12/1962
483	02/01/1963
484	04/12/1962
485	10/12/1962
486	30/11/1962
487	01/12/1962
488	25/12/1962
489	27/12/1962
490	08/12/1962
491	25/12/1962
492	15/12/1962
493	21/12/1962
494	17/12/1962
495	26/12/1962
496	23/12/1962
497	26/12/1962
498	10/12/1962
499	09/12/1962
500	28/12/1962
501	26/12/1962
502	09/02/1967
503	
504	25/08/1968
505	08/01/1963
506	
507	01/07/1963
508	18/01/1966
509	25/09/1986
510	
511	
512	31/12/1962
513	05/02/1967
514	22/04/1969
515	
516	
517	30/12/1962
518	22/01/1963
519	21/10/1989
520	24/03/1968
521	05/01/1963
522	11/01/1963
523	30/11/1980
524	11/01/1963
525	24/01/1963
526	16/01/1963
527	09/01/1969
528	08/11/1963
529	31/12/1963
530	
531	15/04/1971
532	02/11/1981
533	27/12/1979
534	29/05/1984
535	29/06/1969
536	18/07/1978
537	
538	
539	24/02/1991
540	20/08/1991
541	
542	06/07/1991
543	
544	
545	
546	05/11/2014
547	20/11/1989
548	
549	
550	02/02/1991
551	16/02/1990
552	
553	
554	29/03/1963
555	09/04/1963
556	28/05/1990
557	14/02/1967
558	
559	
560	
561	
562	26/04/1963
563	03/04/1963
564	24/11/1966
565	24/11/1963
566	
567	29/08/1963
568	06/07/1963
569	27/04/1963
570	01/05/1963
571	08/05/1963
572	20/05/1963
573	
574	
575	
576	16/05/1963
577	16/05/1963
578	27/05/1963
579	11/11/2011
580	02/06/1965
581	26/08/1963
582	12/05/1965
583	30/08/1963
584	25/06/1963
585	30/09/1963
586	02/06/1963
587	08/06/1963
588	02/04/1964
589	
590	11/07/1963
591	19/06/1963
592	16/06/1963
593	07/08/1963
594	03/08/1990
595	19/06/1963
596	18/06/1963
597	05/07/1963
598	27/07/1963
599	01/08/1963
600	30/07/1963
601	18/07/1963
602	
603	17/05/2000
604	03/06/1994
605	23/12/1978
606	09/06/1988
607	01/02/1980
608	
609	26/07/1963
610	15/11/1991
611	01/03/1971
612	14/12/1983
613	26/10/1969
614	
615	15/11/1964
616	10/07/1963
617	03/07/1963
618	17/07/1963
619	13/07/1963
620	16/07/1963
621	13/08/1963
622	
623	29/07/1963
624	12/04/1971
625	09/07/1989
626	12/08/1963
627	10/08/1963
628	
629	
630	
631	
632	30/03/1964
633	08/12/1963
634	
635	
636	12/09/1963
637	07/11/1963
638	13/10/1963
639	02/09/1963
640	01/09/1963
641	13/09/1963
642	08/09/1963
643	
644	
645	
646	07/06/1972
647	30/04/2001
648	
649	
650	27/05/1982
651	05/01/1991
652	
653	
654	03/07/1968
655	
656	
657	
658	
659	
660	
661	13/02/2002
662	27/12/1991
663	13/09/1963
664	10/09/1963
665	08/09/1963
666	10/09/1963
667	10/09/1963
668	12/10/1963
669	
670	
671	
672	
673	26/10/1963
674	
675	05/02/1966
676	30/10/1963
677	29/10/1963
678	29/10/1963
679	29/10/1963
680	29/10/1963
681	21/01/1964
682	23/05/1965
683	16/10/1982
684	23/11/1966
685	29/10/1965
686	19/12/1966
687	14/11/1963
688	12/11/1963
689	22/11/1963
690	03/12/1963
691	29/11/1963
692	
693	30/12/1965
694	
695	15/12/1963
696	20/03/1992
697	24/06/1989
698	
699	04/03/1985
700	
701	
702	
703	
704	
705	
706	
707	27/03/1964
708	06/03/1964
709	03/01/1964
710	01/01/1964
711	20/12/1963
712	28/12/1963
713	25/01/1964
714	10/05/1981
715	
716	
717	05/10/1990
718	08/01/1964
719	07/11/1964
720	
721	
722	18/04/2018
723	12/11/1982
724	
725	23/12/1974
726	14/11/2014
727	
728	
729	
730	
731	
732	
733	
734	
735	
736	25/11/1981
737	
738	
739	
740	07/06/1969
741	
742	
743	
744	30/04/1966
745	
746	
747	02/02/1964
