OBJECT_NAME	OBJECT_ID	NA	OBJECT_TYPE	OPS_STATUS_CODE	OWNER
SL-1 R/B	1957001A	57001A	R/B	D	CIS
SPUTNIK 1	1957001B	57001B	PAY	D	CIS
SPUTNIK 2	1957002A	57002A	PAY	D	CIS
EXPLORER 1	1958001A	58001A	PAY	D	US
VANGUARD 1	1958002B	58002B	PAY	NA	US
EXPLORER 3	1958003A	58003A	PAY	D	US
SL-1 R/B	1958004A	58004A	R/B	D	CIS
SPUTNIK 3	1958004B	58004B	PAY	D	CIS
EXPLORER 4	1958005A	58005A	PAY	D	US
SCORE	1958006A	58006A	PAY	D	US
VANGUARD 2	1959001A	59001A	PAY	NA	US
VANGUARD R/B	1959001B	59001B	R/B	NA	US
DISCOVERER 1	1959002A	59002A	PAY	D	US
DISCOVERER 2	1959003A	59003A	PAY	D	US
EXPLORER 6	1959004A	59004A	PAY	D	US
VANGUARD R/B	1958002A	58002A	R/B	NA	US
THOR ABLE R/B	1959004B	59004B	R/B	D	US
DISCOVERER 5	1959005A	59005A	PAY	D	US
DISCOVERER 6	1959006A	59006A	PAY	D	US
VANGUARD 3	1959007A	59007A	PAY	NA	US
LUNA 3	1959008A	59008A	PAY	D	CIS
EXPLORER 7	1959009A	59009A	PAY	NA	US
JUNO II R/B	1959009B	59009B	R/B	D	US
DISCOVERER 7	1959010A	59010A	PAY	D	US
DISCOVERER 8	1959011A	59011A	PAY	D	US
DISCOVERER 5 CAPSULE	1959005B	59005B	PAY	D	US
PIONEER 5	1960001A	60001A	PAY	NA	US
THOR ABLE R/B	1960002A	60002A	R/B	D	US
TIROS 1	1960002B	60002B	PAY	-	US
THOR ABLESTAR R/B	1960003A	60003A	R/B	D	US
TRANSIT 1B	1960003B	60003B	PAY	D	US
DISCOVERER 11	1960004A	60004A	PAY	D	US
THOR ABLESTAR DEB	1960003C	60003C	DEB	D	US
SPUTNIK 4	1960005A	60005A	PAY	D	CIS
SL-3 R/B	1960005B	60005B	R/B	D	CIS
SPUTNIK 4 CABIN	1960005C	60005C	PAY	D	CIS
SPUTNIK 4 DEB	1960005D	60005D	DEB	D	CIS
SPUTNIK 4 DEB	1960005E	60005E	DEB	D	CIS
SPUTNIK 4 DEB	1960005F	60005F	DEB	D	CIS
SPUTNIK 4 DEB	1960005G	60005G	DEB	D	CIS
SPUTNIK 4 DEB	1960005H	60005H	DEB	D	CIS
SPUTNIK 4 DEB	1960005J	60005J	DEB	D	CIS
MIDAS 2	1960006A	60006A	PAY	D	US
MIDAS 2 DEB	1960006B	60006B	DEB	D	US
TRANSIT 2A	1960007A	60007A	PAY	NA	US
SOLRAD 1 (GREB)	1960007B	60007B	PAY	NA	US
THOR ABLESTAR R/B	1960007C	60007C	R/B	NA	US
DISCOVERER 13	1960008A	60008A	PAY	D	US
ECHO 1	1960009A	60009A	PAY	D	US
DELTA 1 R/B	1960009B	60009B	R/B	NA	US
ECHO 1 DEB [METAL OBJ]	1960009C	60009C	DEB	NA	US
ECHO 1 DEB [MYLAR OBJ]	1960009D	60009D	DEB	NA	US
ECHO 1 DEB [METAL OBJ]	1960009E	60009E	DEB	NA	US
DISCOVERER 14	1960010A	60010A	PAY	D	US
SPUTNIK 5	1960011A	60011A	PAY	D	CIS
SL-3 R/B	1960011B	60011B	R/B	D	CIS
DISCOVERER 15	1960012A	60012A	PAY	D	US
COURIER 1B	1960013A	60013A	PAY	NA	US
THOR ABLESTAR R/B	1960013B	60013B	R/B	NA	US
EXPLORER 8	1960014A	60014A	PAY	D	US
DISCOVERER 17	1960015A	60015A	PAY	D	US
JUNO II R/B	1960014B	60014B	R/B	D	US
TIROS 2	1960016A	60016A	PAY	D	US
DELTA 1 R/B	1960016B	60016B	R/B	D	US
SPUTNIK 6	1960017A	60017A	PAY	D	CIS
SL-3 R/B	1960017B	60017B	R/B	D	CIS
DISCOVERER 18	1960018A	60018A	PAY	D	US
DISCOVERER 19	1960019A	60019A	PAY	D	US
JUNO II DEB	1960014C	60014C	DEB	D	US
SAMOS 2	1961001A	61001A	PAY	D	US
SPUTNIK 7	1961002A	61002A	PAY	D	CIS
SL-6 R/B	1961002B	61002B	R/B	D	CIS
SL-6 DEB	1961002C	61002C	DEB	D	CIS
DELTA 1 DEB	1960016C	60016C	DEB	D	US
DELTA 1 DEB	1960016D	60016D	DEB	D	US
SL-6 R/B	1961003B	61003B	R/B	D	CIS
SPUTNIK 8	1961003C	61003C	PAY	D	CIS
SL-6 DEB	1961003D	61003D	DEB	D	CIS
ATLAS AGENA A R/B	1961001B	61001B	R/B	D	US
VENERA 1	1961003A	61003A	PAY	NA	CIS
EXPLORER 9	1961004A	61004A	PAY	D	US
SCOUT X-1 R/B	1961004B	61004B	R/B	NA	US
DISCOVERER 20	1961005A	61005A	PAY	D	US
DISCOVERER 21	1961006A	61006A	PAY	D	US
SCOUT X-1 DEB	1961004C	61004C	DEB	NA	US
SCOUT X-1 DEB	1961004D	61004D	DEB	D	US
TRANSIT 3B & LOFTI 1	1961007A	61007A	PAY	D	US
DISCOVERER 20 DEB	1961005B	61005B	DEB	D	US
DISCOVERER 20 DEB	1961005C	61005C	DEB	D	US
DISCOVERER 20 DEB	1961005D	61005D	DEB	D	US
SPUTNIK 9	1961008A	61008A	PAY	D	CIS
SPUTNIK 9 DEB	1961008B	61008B	DEB	D	CIS
SPUTNIK 9 DEB	1961008C	61008C	DEB	D	CIS
